iso,start_year,end_year,international_equity,balanced_all_equity,gap_pct,first_wins,ruin_first,ruin_second
NLD,1915,1982,1.8055710480621778,1.4531021009796055,24.256309783390726,True,False,False
NLD,1916,1983,1.9089447786448352,1.5637386357699867,22.07569314835458,True,False,False
NLD,1917,1984,2.2002475437773947,1.9382955383659233,13.514554423022073,True,False,False
NLD,1918,1985,2.371338267291664,2.1142013249521643,12.162367855167133,True,False,False
NLD,1919,1986,2.36867276193617,2.152510152989607,10.042350260059685,True,False,False
NLD,1920,1987,2.1471327794802395,1.9359885994650006,10.906271869244865,True,False,False
NLD,1921,1988,2.239989596038645,2.177475861736065,2.8709266266097266,True,False,False
NLD,1922,1989,2.5311975869293435,2.506598671237735,0.9813663421221586,True,False,False
NLD,1923,1990,2.5051148885053878,2.49108853236457,0.5630613267487483,True,False,False
NLD,1924,1991,2.3523168644564834,2.4329543673304035,-3.3143861618087356,False,True,False
NLD,1925,1992,2.2089893222283243,2.2048756445808735,0.18657186665205217,True,False,False
NLD,1926,1993,2.193892029810757,2.216167465160262,-1.005133217579024,False,False,False
