iso,start_year,end_year,domestic_annualised,sleeve_annualised,excess_pp
FRA,1931,1998,-0.01381995660835722,0.08373262929287084,9.755258590122807
FRA,1932,1999,-0.0024310816896562226,0.09348886197880035,9.591994366845658
FRA,1933,2000,-0.00716066917318936,0.09370196887251248,10.086263804570184
FRA,1934,2001,-0.01118585890005297,0.08725034330339176,9.843620220344473
FRA,1935,2002,-0.015895600237553764,0.08189414915415516,9.778974939170892
FRA,1936,2003,-0.014803200027752705,0.08069648339162971,9.549968341938243
FRA,1937,2004,-0.01475776670334028,0.0796787134549175,9.44364801582578
FRA,1938,2005,-0.0071911904600324705,0.08126675132696559,8.845794178699807
FRA,1939,2006,-0.0033959696253674787,0.08097031852472614,8.436628815009362
FRA,1940,2007,-0.004536022191498845,0.0797329474792352,8.426896967073406
FRA,1941,2008,-0.015727965000283506,0.06731773860673829,8.30457036070218
FRA,1942,2009,-0.015894801743191134,0.07238981297038194,8.828461471357308
FRA,1943,2010,-0.019020955509767346,0.07552565077566986,9.45466062854372
FRA,1944,2011,-0.015488740685149827,0.07498823813846789,9.04769788236177
FRA,1945,2012,-0.008328855899548349,0.07923578917391794,8.756464507346628
FRA,1946,2013,0.0035459453844977062,0.08810937410768171,8.456342872318402
FRA,1947,2014,0.0065327137889790166,0.06741230882728022,6.08795950383012
FRA,1948,2015,0.017198127825542642,0.07823273347894966,6.1034605653407015
FRA,1949,2016,0.027100706548167652,0.07890571517829592,5.180500863012827
FRA,1950,2017,0.03393393580080839,0.07979681813435979,4.58628823335514
FRA,1951,2018,0.036395251880877,0.0776468345395478,4.125158265867079
FRA,1952,2019,0.03679446228895422,0.07831068813371944,4.151622584476522
FRA,1953,2020,0.036342898291444214,0.07885241741070681,4.2509519119262595
GBR,1890,1957,0.03346005448980005,0.057748044615677285,2.4287990125877235
GBR,1891,1958,0.03837446314926818,0.06042363689431163,2.204917374504345
GBR,1892,1959,0.045153165413130525,0.06500131852709967,1.9848153113969147
GBR,1893,1960,0.0453070658827921,0.06607687210782043,2.076980622502833
GBR,1894,1961,0.044997312383228794,0.06744082066254231,2.2443508279313518
GBR,1895,1962,0.042546710964090684,0.06425521340011375,2.170850243602307
GBR,1896,1963,0.043062687511001396,0.0635199332036791,2.0457245692677706
GBR,1897,1964,0.03991369538844736,0.06218277199098554,2.2269076602538185
GBR,1898,1965,0.04011342125412298,0.061066992500008466,2.0953571245885483
GBR,1899,1966,0.03818088320336743,0.059090958111922776,2.0910074908555343
GBR,1900,1967,0.04174785940543346,0.06136346070534193,1.961560129990847
GBR,1901,1968,0.04656206041439792,0.06424883539411619,1.7686774979718267
GBR,1902,1969,0.04318116689641216,0.06565467704120143,2.2473510144789266
GBR,1903,1970,0.040792880889791716,0.06338955192928242,2.25966710394907
GBR,1904,1971,0.045087353858379364,0.06176348628619999,1.6676132427820622
GBR,1905,1972,0.04469946753313536,0.06523358784563804,2.053412031250268
GBR,1906,1973,0.03677621989821733,0.06540513157554795,2.8628911677330615
GBR,1907,1974,0.022616580028867128,0.0584739021382088,3.585732210934167
GBR,1908,1975,0.033557601099613255,0.05961604009900667,2.605843899939342
GBR,1909,1976,0.031096034348567114,0.059798282784915724,2.870224843634861
GBR,1910,1977,0.03347398384208411,0.053653114594581774,2.0179130752497665
GBR,1911,1978,0.03355448862301147,0.053860630998641135,2.0306142375629666
GBR,1912,1979,0.03334276922582613,0.05223970090625896,1.8896931680432827
GBR,1913,1980,0.03567772461954055,0.05094052392197801,1.5262799302437458
GBR,1914,1981,0.03645202856300833,0.05204895657918995,1.5596928016181622
GBR,1915,1982,0.03905165481891659,0.05369143229637441,1.4639777477457816
GBR,1916,1983,0.04359785555935325,0.058440494954140165,1.4842639394786916
GBR,1917,1984,0.05012658152750782,0.06023731903368801,1.011073750618019
GBR,1918,1985,0.05429371301228714,0.06621679492730959,1.1923081915022449
GBR,1919,1986,0.057680750403661385,0.0749143989488088,1.7233648545147418
GBR,1920,1987,0.05855805839487993,0.07640045145454222,1.7842393059662287
GBR,1921,1988,0.06566595231191896,0.08502286715786744,1.935691484594848
GBR,1922,1989,0.0683344091566842,0.09053583559086653,2.2201426434182325
GBR,1923,1990,0.05969269290165791,0.0817265770964144,2.2033884194756492
GBR,1924,1991,0.060400857028972244,0.074080276400744,1.367941937177175
GBR,1925,1992,0.05960406453377609,0.07436553281241154,1.4761468278635448
GBR,1926,1993,0.06086272715147589,0.07761285350476266,1.6750126353286765
GBR,1927,1994,0.058481630342224644,0.0754724101552986,1.6990779813073953
GBR,1928,1995,0.05963996798365612,0.07321369504190978,1.357372705825366
GBR,1929,1996,0.05913527930124096,0.07191758031151885,1.2782301010277886
GBR,1930,1997,0.06441349350908188,0.07598798064219969,1.1574487133117817
GBR,1931,1998,0.06651517307696886,0.08200389664788266,1.5488723570913798
GBR,1932,1999,0.0725095363055428,0.08874194652384015,1.6232410218297355
GBR,1933,2000,0.06637768792678655,0.08596379192354164,1.9586103996755089
GBR,1934,2001,0.06022181991425768,0.07853690983702188,1.8315089922764205
GBR,1935,2002,0.05406932564813638,0.07359006727342088,1.95207416252845
GBR,1936,2003,0.054787089662032606,0.07503746536394673,2.0250375701914125
GBR,1937,2004,0.05380485495761156,0.07471681064577718,2.0911955688165618
GBR,1938,2005,0.05922351966055239,0.0793737687252638,2.015024906471141
GBR,1939,2006,0.06309386879840373,0.08225372090309313,1.91598521046894
GBR,1940,2007,0.06365858902199673,0.0824286697707366,1.877008074873987
GBR,1941,2008,0.06079858253755188,0.07409011741982696,1.329153488227508
GBR,1942,2009,0.06283727847573739,0.07690010222432186,1.4062823748584474
GBR,1943,2010,0.06282704360857139,0.07679474308246692,1.3967699473895534
GBR,1944,2011,0.06048782866639946,0.07285870537813377,1.2370876711734313
GBR,1945,2012,0.06042609427180645,0.07448162062535735,1.4055526353550896
GBR,1946,2013,0.06240022321346195,0.0787928700536138,1.6392646840151848
GBR,1947,2014,0.06028805033899953,0.0770708271663143,1.6782776827314771
GBR,1948,2015,0.06191564601074928,0.07655931324098719,1.4643667230237911
GBR,1949,2016,0.06580148957631726,0.08612558878385901,2.0324099207541746
GBR,1950,2017,0.0688042358166594,0.07746912557635555,0.8664889759696148
GBR,1951,2018,0.06581254946015536,0.07567012514617755,0.9857575686022191
GBR,1952,2019,0.06829878561296487,0.07463340396560691,0.6334618352642041
GBR,1953,2020,0.06821235039159701,0.07712927353059351,0.8916923138996502
ITA,1922,1989,0.024969836036097925,0.05961695649408494,3.4647120457987013
ITA,1923,1990,0.015327284012045084,0.054073012420794875,3.874572840874979
ITA,1924,1991,0.010292362539576994,0.04679780195337502,3.6505439413798024
ITA,1925,1992,0.001297332751767133,0.04857040603764218,4.7273073285875045
ITA,1926,1993,0.009265034690407958,0.05197928944218022,4.271425475177226
ITA,1927,1994,0.018534703278444642,0.05003055257965294,3.14958493012083
ITA,1928,1995,0.01220830269522577,0.05092797592959197,3.8719673234366203
ITA,1929,1996,0.00848720934677094,0.04966275564053779,4.117554629376685
ITA,1930,1997,0.017173753492502497,0.05561294531124683,3.8439191818744334
ITA,1931,1998,0.024308883124405156,0.06004687017671606,3.5737987052310904
ITA,1932,1999,0.030481923375208497,0.06874246482207358,3.826054144686508
ITA,1933,2000,0.031218361336035727,0.06923783204235279,3.801947070631706
ITA,1934,2001,0.02162518971311611,0.06310946200899425,4.148427229587814
ITA,1935,2002,0.014836978470177398,0.05724158648062527,4.2404608010447875
ITA,1936,2003,0.015331026560291283,0.057005623048417275,4.167459648812599
ITA,1937,2004,0.015018778779333664,0.055376307820379056,4.035752904104539
ITA,1938,2005,0.017160513248477338,0.056242027392670924,3.9081514144193585
ITA,1939,2006,0.021192754632698207,0.060543646859160694,3.9350892226462486
ITA,1940,2007,0.015685057668368252,0.06139703887083803,4.571198120246978
ITA,1941,2008,0.0056160994745879655,0.051264662551088636,4.564856307650067
ITA,1942,2009,0.006910120046089485,0.055412857820094974,4.850273777400549
ITA,1943,2010,0.005027182067504299,0.03632051909241252,3.129333702490822
ITA,1944,2011,-0.0016658590375465687,0.03849805497067993,4.01639140082265
ITA,1945,2012,0.008061631537877423,0.05091639663746661,4.285476509958919
ITA,1946,2013,0.030522879465253006,0.06443480127162182,3.3911921806368817
ITA,1947,2014,0.019086572207942076,0.0708510264517821,5.176445424384002
ITA,1948,2015,0.03340135069818628,0.0829071688234051,4.9505818125218815
ITA,1949,2016,0.029870129392050693,0.08488815878466083,5.5018029392610135
ITA,1950,2017,0.0308240651070546,0.07944181967885999,4.861775457180539
ITA,1951,2018,0.02711144720075831,0.07504208999860285,4.793064279784454
ITA,1952,2019,0.030853415838691278,0.07689442950597458,4.60410136672833
ITA,1953,2020,0.025219908759968712,0.07719773035502508,5.197782159505637
JPN,1948,2015,0.07154715243732013,0.06199810528519811,-0.9549047152122014
