credit,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption,mean_retirement_consumption,n_paths
0.0,domestic_070,70% domestic equity,0.9654546483537592,1.1172403607539514,0.17243,18.53171818707444,29.406992702192074,0.6912717983927528,1.605648026237592,100000
0.0,domestic_080,80% domestic equity,0.9371403630587917,1.0741666267187946,0.19579,17.798018785272173,25.331626909211945,0.6694342196292303,1.5810832871151803,100000
0.0,domestic_090,90% domestic equity,0.9090874169254576,1.0327557072857885,0.22347,16.965228114518965,20.955610052780226,0.6479168741100008,1.5549146739081743,100000
0.0,domestic_100,100% domestic equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549,1.5266692298407818,100000
0.05,balanced_all_equity,50/50 Domestic/International Equity,1.0278945293243054,1.2152993666079452,0.12816,20.207296163333538,38.842216416950826,0.7350240435564813,1.6750051952529457,100000
0.05,domestic_equity,100% Domestic Equity,0.8908666949126487,1.0073205555086542,0.24327,16.78651905104477,19.399323332675905,0.6328130630073482,1.5707876457629617,100000
0.05,international_equity,100% International Equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
0.05,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8765255650265845,0.971686260576174,0.23449,13.678949456588512,11.240099232430431,0.6264478275402001,1.3098810107790957,100000
0.05,target_date_fund,Target-Date Fund (glide path),0.936290439241093,1.0433788003653304,0.22659,16.03042202823836,8.842086273762892,0.6774199768868688,1.4037707172264529,100000
0.05,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927,0.908272012393883,100000
0.05,domestic_000,0% domestic equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
0.05,domestic_010,10% domestic equity,1.0613183824795074,1.2741690278931215,0.10845,21.240662646423495,43.528815511035745,0.7628912199271825,1.7248892424076065,100000
0.05,domestic_020,20% domestic equity,1.0667553336726063,1.2803648085201187,0.10338,21.17111760184912,43.13375456978255,0.7638847847015727,1.7159907138634454,100000
0.05,domestic_030,30% domestic equity,1.0624401402633503,1.2717174067194696,0.10493,20.95099095557636,42.31932756299153,0.7604520140537381,1.7045882788378721,100000
0.05,domestic_040,40% domestic equity,1.0488634230928109,1.2491094022493587,0.11418,20.609284097426922,40.88343567764242,0.7506796221801096,1.6908203083069142,100000
0.05,domestic_050,50% domestic equity,1.0278945293243054,1.2152993666079452,0.12816,20.207296163333538,38.842216416950826,0.7350240435564813,1.6750051952529457,100000
0.05,domestic_060,60% domestic equity,1.002336113775588,1.1747693187832409,0.14535,19.703542459462426,35.87215672804297,0.7175283688924848,1.6573674524104698,100000
0.05,domestic_070,70% domestic equity,0.9745933715546142,1.1315991789361959,0.16602,19.11255667935689,32.36217541284794,0.6974115188106685,1.638275671924406,100000
0.05,domestic_080,80% domestic equity,0.9464620319547932,1.0885237444763336,0.188,18.43695256911422,28.346005354682227,0.675663906744725,1.6177595747188844,100000
0.05,domestic_090,90% domestic equity,0.9183421188621853,1.0468292398082546,0.21432,17.642998335067734,23.852135295670063,0.6537797274153451,1.5954404742254213,100000
0.05,domestic_100,100% domestic equity,0.8908666949126487,1.0073205555086542,0.24327,16.78651905104477,19.399323332675905,0.6328130630073482,1.5707876457629617,100000
0.1,balanced_all_equity,50/50 Domestic/International Equity,1.0362230145330744,1.2286937227965722,0.1235,20.664715471931018,41.5001708198008,0.741035896982852,1.6996610769047817,100000
