rule,rate,can_deplete,strategy,cec,prob_ruin,mean_retirement_consumption,n_paths
constant_percent,0.07,False,domestic_050,1.2032445879632478,0.0,2.521649748250113,20000
constant_percent,0.07,False,domestic_060,1.1506864635845835,0.0,2.445592259934429,20000
constant_percent,0.07,False,domestic_070,1.0980418197326676,0.0,2.3713107067540307,20000
constant_percent,0.07,False,domestic_080,1.0479658899539483,0.0,2.298607810734695,20000
constant_percent,0.07,False,domestic_090,1.0015532831783107,0.0,2.2274623712686594,20000
constant_percent,0.07,False,domestic_100,0.9589077817938513,0.0,2.1579891494378973,20000
constant_percent,0.07,False,reteq_equity_000,0.9796976301602386,0.0,1.684756867261137,20000
constant_percent,0.07,False,reteq_equity_010,1.0058698231164103,0.0,1.74518115913648,20000
constant_percent,0.07,False,reteq_equity_020,1.0322914310248565,0.0,1.8099953664208304,20000
constant_percent,0.07,False,reteq_equity_030,1.0586116667540513,0.0,1.8794634418819711,20000
constant_percent,0.07,False,reteq_equity_040,1.0844244791416722,0.0,1.9538617778267238,20000
constant_percent,0.07,False,reteq_equity_050,1.1092827429001355,0.0,2.0334817473807147,20000
constant_percent,0.07,False,reteq_equity_060,1.1327189476720665,0.0,2.118633028645765,20000
constant_percent,0.07,False,reteq_equity_070,1.1542657724940142,0.0,2.2096478172669434,20000
constant_percent,0.07,False,reteq_equity_080,1.1734737074533184,0.0,2.3068860264530295,20000
constant_percent,0.07,False,reteq_equity_090,1.189925668292382,0.0,2.410741562521821,20000
constant_percent,0.07,False,reteq_equity_100,1.2032445879632478,0.0,2.521649748250113,20000
constant_percent,0.07,False,retdom_domestic_000,1.246765728941449,0.0,2.642297743056931,20000
constant_percent,0.07,False,retdom_domestic_010,1.2481553433261532,0.0,2.6192810155974056,20000
constant_percent,0.07,False,retdom_domestic_020,1.2442199398005143,0.0,2.5957406727845402,20000
constant_percent,0.07,False,retdom_domestic_030,1.2351467741445719,0.0,2.5716333384529273,20000
constant_percent,0.07,False,retdom_domestic_040,1.2213021648491251,0.0,2.5469366781637546,20000
constant_percent,0.07,False,retdom_domestic_050,1.2032445879632478,0.0,2.521649748250113,20000
constant_percent,0.07,False,retdom_domestic_060,1.1816902283489863,0.0,2.4957931187352975,20000
constant_percent,0.07,False,retdom_domestic_070,1.1574369724352613,0.0,2.4694086260209027,20000
constant_percent,0.07,False,retdom_domestic_080,1.131262214669731,0.0,2.4425586014456275,20000
constant_percent,0.07,False,retdom_domestic_090,1.1038140999672008,0.0,2.415324438703925,20000
constant_percent,0.07,False,retdom_domestic_100,1.0755216989305663,0.0,2.387804397179826,20000
life_expectancy,,False,equity_000,0.7852922219172045,0.0,1.0808923238548505,20000
life_expectancy,,False,equity_010,0.8187714018904451,0.0,1.173678754299526,20000
life_expectancy,,False,equity_020,0.8556695830909735,0.0,1.2871337743096305,20000
life_expectancy,,False,equity_030,0.8956577285291594,0.0,1.4256465023918723,20000
life_expectancy,,False,equity_040,0.9382056477532137,0.0,1.5944585643232596,20000
life_expectancy,,False,equity_050,0.982569603251443,0.0,1.7998138928828564,20000
life_expectancy,,False,equity_060,1.0277909822961628,0.0,2.049135345613803,20000
life_expectancy,,False,equity_070,1.0726888152597092,0.0,2.3512350585390656,20000
life_expectancy,,False,equity_080,1.1158761660004193,0.0,2.7165680550755438,20000
life_expectancy,,False,equity_090,1.1558269214950194,0.0,3.1575421932949714,20000
life_expectancy,,False,equity_100,1.190982308303365,0.0,3.6889023517161856,20000
life_expectancy,,False,domestic_000,1.2702348123011948,0.0,4.478358916156443,20000
life_expectancy,,False,domestic_010,1.2790898234285875,0.0,4.296608940425456,20000
life_expectancy,,False,domestic_020,1.2754104952930507,0.0,4.13020695181722,20000
life_expectancy,,False,domestic_030,1.2586732269674714,0.0,3.9752957782081824,20000
life_expectancy,,False,domestic_040,1.2297294370009821,0.0,3.828920780676559,20000
life_expectancy,,False,domestic_050,1.190982308303365,0.0,3.6889023517161856,20000
life_expectancy,,False,domestic_060,1.1460047591484168,0.0,3.553723760465293,20000
life_expectancy,,False,domestic_070,1.0985630278636673,0.0,3.4224303764211284,20000
life_expectancy,,False,domestic_080,1.051617179564194,0.0,3.294535915806327,20000
