iso,country,tier,series,n_years,first_year,last_year,mean,geometric_mean,std,min,max,skew,kurtosis,ar1,ar2
ITA,Italy,A,bill,124,1890,2020,0.003877729074593947,-0.0054751951571540185,0.10521925018792021,-0.7634982246369607,0.1782159306950355,-4.551716541161043,27.307350874781704,0.7158491029354755,0.4898502716016736
ITA,Italy,A,inflation,124,1890,2020,0.0843128686215553,0.0635058271813154,0.3296477180362996,-0.09658668658051761,3.443941266119463,8.980987453445172,89.62050401589724,0.4254634832099378,0.15282181291962607
JPN,Japan,A,dom_eq,129,1890,2020,0.07937001281670274,0.04164998040879559,0.25793101584978845,-0.9034720866582836,0.824809226996045,0.2641620218047312,1.7398939746142292,0.12269760172049726,-0.2557860313366688
JPN,Japan,A,intl_eq,129,1890,2020,0.07309557790600697,0.04644770543656343,0.2339287121967219,-0.6952265186890987,1.2270322660517037,0.7556516741222847,4.924377475588827,0.10513207795889871,-0.17215902231868563
JPN,Japan,A,bond,129,1890,2020,0.013142416750268733,-0.0027490122216247766,0.12382705634915957,-0.903536555020095,0.21908034015437394,-3.583564623731264,23.52072010030442,0.5194801265101301,0.19142320183686695
JPN,Japan,A,bill,129,1890,2020,-0.0017376640396048325,-0.0160266525284374,0.11017363785836638,-0.9045777949447451,0.1747871716039422,-4.915904549160795,36.24757594259352,0.5832866994541257,0.2640085683930517
JPN,Japan,A,inflation,129,1890,2020,0.11840702177357966,0.058119052031926195,0.861008577581592,-0.11527804626586757,9.756406218684686,11.132059316829915,125.47978336233707,0.10252384298492802,0.025395013953622637
NLD,Netherlands,A,dom_eq,121,1900,2020,0.07145153836953223,0.05098913577941686,0.21178319810331311,-0.5055645901266526,1.0044190824875003,0.7447912322731994,2.887180949692042,0.03099162716840914,-0.08625049068272599
NLD,Netherlands,A,intl_eq,121,1900,2020,0.07767718866575335,0.06188172817525163,0.18751303385321713,-0.440649054092915,1.0020631051268154,0.9101386645335497,4.709026254439197,0.09198467278986538,-0.1278176370433632
NLD,Netherlands,A,bond,121,1900,2020,0.018990796304624486,0.01485652878571087,0.0929324692679574,-0.19207114430337047,0.33564263915539616,0.5146861423589429,1.4175073851071698,0.15624265177391278,0.2293131380535107
NLD,Netherlands,A,bill,121,1900,2020,0.006758964559152585,0.005606546037936605,0.04831604707159728,-0.13539259747368304,0.1937309069980735,0.10963282136838819,2.8500102313969133,0.5682254670980555,0.3291092905170513
NLD,Netherlands,A,inflation,121,1900,2020,0.03045808189796327,0.029376472144736744,0.04744910425548899,-0.1288656471553291,0.19117647673386973,0.22236378136073276,2.4092526320765044,0.5367424809815263,0.2984064131233125
NOR,Norway,A,dom_eq,131,1890,2020,0.05665844084985662,0.03731880305432702,0.2013461404314678,-0.5572881432227941,0.7784519077594902,0.45533788711800854,1.6397674321649198,0.022496515985685105,-0.139541382356287
NOR,Norway,A,intl_eq,131,1890,2020,0.07841334253313013,0.06455841885870141,0.18109522932102193,-0.3334708706213614,1.1521798271472625,1.6302719926223643,8.883883144073875,0.09994309460936002,-0.16651422542207417
NOR,Norway,A,bond,131,1890,2020,0.01901093242458766,0.01500621756464971,0.09041826455627447,-0.2662358924613022,0.34447872930975776,0.20330668999733564,2.2819712963228174,0.38814968307931136,0.27508523088860243
NOR,Norway,A,bill,131,1890,2020,0.005515328546134323,0.003722086852015641,0.059917342236635196,-0.2526253222692829,0.2476871380061374,0.04600747724451129,5.470263432728622,0.6159730549741212,0.33126460119006296
NOR,Norway,A,inflation,131,1890,2020,0.035865192020289254,0.033918110459869706,0.06517403774378261,-0.16677829872739336,0.40491781703551166,1.480374177888614,8.73491918372597,0.6007812019315037,0.36677756229019326
PRT,Portugal,A,dom_eq,131,1890,2020,0.03208147243152522,-0.0011972553875338643,0.26036764808337765,-0.5794611413274771,0.9806113879241469,0.6565989703410074,2.376103642101529,0.25374635725795647,0.01624988271260854
PRT,Portugal,A,intl_eq,131,1890,2020,0.08354418939433189,0.06789633377885512,0.1808568472788222,-0.4428715928731215,0.6157302221521557,0.10689123835055979,1.2312413951604064,0.16932806800617428,-0.12348362244612075
PRT,Portugal,A,bond,131,1890,2020,0.016994011069730416,0.004157116979407844,0.1588098133220318,-0.4037150659760518,0.7623716435862276,0.24568625660718882,3.975783670640066,0.31891791052912494,0.2628657780783432
PRT,Portugal,A,bill,131,1890,2020,-0.005628421760954895,-0.010575341894440926,0.09291603909317553,-0.4166894199599992,0.23023254945113925,-1.6605409194547,5.5882962307624435,0.5286245067810693,0.49402427830249507
PRT,Portugal,A,inflation,131,1890,2020,0.07476160850245059,0.06717642120007578,0.14051892677335484,-0.1759688033146477,0.808641975308642,2.7812344273051237,10.04058055336655,0.5504713944562857,0.5777116178640476
SWE,Sweden,A,dom_eq,131,1890,2020,0.08133973406129927,0.06140410578159159,0.20335901842218426,-0.4547203052093379,0.6894711128032092,0.052149349309842004,0.5394480109778086,0.1262647067966297,-0.11454284177532591
SWE,Sweden,A,intl_eq,131,1890,2020,0.07841669132609735,0.06472036724700962,0.17606055394727763,-0.3652930325348699,0.9217254452012011,1.0319054153442235,4.708071708119691,0.12079048185309413,-0.05101111810076354
SWE,Sweden,A,bond,131,1890,2020,0.029199261356912823,0.023080766740844923,0.1141046856334122,-0.34460214306326475,0.5426696006259226,0.8701934045789281,4.592625378833143,0.20758934907116386,0.18803419956267123
SWE,Sweden,A,bill,131,1890,2020,0.012247755451942524,0.01068935096004109,0.055602687687961144,-0.282755185768812,0.2875565619995959,-0.15821536026038494,12.21014596240357,0.6408006992918646,0.25175558821983746
SWE,Sweden,A,inflation,131,1890,2020,0.03393941750372785,0.03201247503540398,0.06561193643749834,-0.18450184501845013,0.4695121951219512,2.303735311283132,16.09074468576526,0.6454294398964715,0.31252404371730425
USA,United States,A,dom_eq,131,1890,2020,0.0838573670668938,0.06663997881206553,0.18726972784188475,-0.41020352469943877,0.6085833884202516,-0.2407689983932133,0.1498725565077903,0.002814210268403093,-0.2329856733024956
USA,United States,A,intl_eq,131,1890,2020,0.08121575139522744,0.06514823377012369,0.1854468997685823,-0.48813249422572746,0.6600391155424905,0.3938888467786373,1.7050824946875007,0.20624426125692277,-0.07800044763702293
USA,United States,A,bond,131,1890,2020,0.02350721396733111,0.019376154081888797,0.09342518806844108,-0.16194234303198762,0.30215522668657524,0.5970127904694994,0.7680068062809022,0.034176960389934286,0.022662609918929235
USA,United States,A,bill,131,1890,2020,0.014808368652783855,0.013862527273338407,0.043734355368748465,-0.11841059678437693,0.16201117218539718,-0.22821720331598624,2.9302421977184157,0.646795885890966,0.3195512030509568
USA,United States,A,inflation,131,1890,2020,0.026040399089386972,0.02510986816446366,0.04419843181403542,-0.1050000000000002,0.1796875,0.6981796192727401,2.9986566583518597,0.6433583154060754,0.2974982264740587
