system,leisure,cec,prob_ruin,mean_retirement_consumption,n_paths,cec_survival_weighted,retire_age,working_years,retired_years,claim_factor,mean_benefit
au_pension_only,1.05,0.31679088462703203,0.19575,0.4691578740101197,100000,0.34424284945021033,50,25,43,1.0,0.11498463630417007
au_pension_only,1.1,0.31646069237965185,0.19575,0.4691578740101197,100000,0.3437201801404711,50,25,43,1.0,0.11498463630417007
au_pension_only,1.15,0.3160843748652521,0.19575,0.4691578740101197,100000,0.34312601062330766,50,25,43,1.0,0.11498463630417007
au_pension_only,1.2,0.31565834870810094,0.19575,0.4691578740101197,100000,0.34245528419284904,50,25,43,1.0,0.11498463630417007
au_pension_only,1.25,0.3151790559249334,0.19575,0.4691578740101197,100000,0.3417031205129273,50,25,43,1.0,0.11498463630417007
au_pension_only,1.3,0.31464299877142277,0.19575,0.4691578740101197,100000,0.34086488434434253,50,25,43,1.0,0.11498463630417007
au_pension_only,1.4,0.31338712445970834,0.19575,0.4691578740101197,100000,0.3389132997073439,50,25,43,1.0,0.11498463630417007
au_pension_only,1.5,0.31186538498917743,0.19575,0.4691578740101197,100000,0.3365709980862287,50,25,43,1.0,0.11498463630417007
au_pension_only,1.75,0.3067658583824718,0.19575,0.4691578740101197,100000,0.32889098643456066,50,25,43,1.0,0.11498463630417007
au_pension_only,2.0,0.2996862042405392,0.19575,0.4691578740101197,100000,0.31862176119720637,50,25,43,1.0,0.11498463630417007
au_pension_only,1.0,0.3615569875079306,0.18519,0.5315135692810257,100000,0.3933180344194145,52,27,41,1.0,0.10597722929161142
au_pension_only,1.05,0.36096189463118417,0.18519,0.5315135692810257,100000,0.3923726579853525,52,27,41,1.0,0.10597722929161142
au_pension_only,1.1,0.36028147351104356,0.18519,0.5315135692810257,100000,0.3912960966706477,52,27,41,1.0,0.10597722929161142
au_pension_only,1.15,0.3595094833641123,0.18519,0.5315135692810257,100000,0.39008022440035317,52,27,41,1.0,0.10597722929161142
au_pension_only,1.2,0.3586399396945123,0.18519,0.5315135692810257,100000,0.38871769020422575,52,27,41,1.0,0.10597722929161142
au_pension_only,1.25,0.3576672106562331,0.18519,0.5315135692810257,100000,0.3872020890130222,52,27,41,1.0,0.10597722929161142
au_pension_only,1.3,0.3565861147600636,0.18519,0.5315135692810257,100000,0.3855281225028,52,27,41,1.0,0.10597722929161142
au_pension_only,1.4,0.3540809236771179,0.18519,0.5315135692810257,100000,0.3816902782381107,52,27,41,1.0,0.10597722929161142
au_pension_only,1.5,0.3510954699193806,0.18519,0.5315135692810257,100000,0.37718878554154,52,27,41,1.0,0.10597722929161142
au_pension_only,1.75,0.3414603680352367,0.18519,0.5315135692810257,100000,0.36314839960600465,52,27,41,1.0,0.10597722929161142
au_pension_only,2.0,0.32891088239324645,0.18519,0.5315135692810257,100000,0.3458235990569884,52,27,41,1.0,0.10597722929161142
au_pension_only,1.0,0.4274541641731091,0.16931,0.645987312640521,100000,0.46571750971036646,55,30,38,1.0,0.09271605298432568
au_pension_only,1.05,0.4259196312180158,0.16931,0.645987312640521,100000,0.4632724768821395,55,30,38,1.0,0.09271605298432568
au_pension_only,1.1,0.4241831694043491,0.16931,0.645987312640521,100000,0.46052994769243283,55,30,38,1.0,0.09271605298432568
au_pension_only,1.15,0.42223581801182314,0.16931,0.645987312640521,100000,0.45748409153770325,55,30,38,1.0,0.09271605298432568
au_pension_only,1.2,0.4200705922253251,0.16931,0.645987312640521,100000,0.45413321578047766,55,30,38,1.0,0.09271605298432568
au_pension_only,1.25,0.4176827308200458,0.16931,0.645987312640521,100000,0.45047993644880496,55,30,38,1.0,0.09271605298432568
au_pension_only,1.3,0.4150698896535559,0.16931,0.645987312640521,100000,0.44653118987721013,55,30,38,1.0,0.09271605298432568
au_pension_only,1.4,0.4091726673814985,0.16931,0.645987312640521,100000,0.4377955788216073,55,30,38,1.0,0.09271605298432568
au_pension_only,1.5,0.4024114643836026,0.16931,0.645987312640521,100000,0.4280588175465881,55,30,38,1.0,0.09271605298432568
