claim_arm,system,leisure,cec,prob_ruin,mean_retirement_consumption,n_paths,cec_survival_weighted,retire_age,working_years,retired_years,claim_factor,mean_benefit
actuarial,us,1.15,0.6643561337568893,0.12418,1.6008852274688483,100000,0.6614461280162119,62,37,31,0.9296188534715357,0.6142964146779243
actuarial,us,1.2,0.6375986705036986,0.12418,1.6008852274688483,100000,0.6345228475200917,62,37,31,0.9296188534715357,0.6142964146779243
actuarial,us,1.25,0.612819582109028,0.12418,1.6008852274688483,100000,0.6096405916159103,62,37,31,0.9296188534715357,0.6142964146779243
actuarial,us,1.3,0.5898232143022697,0.12418,1.6008852274688483,100000,0.5865868322156385,62,37,31,0.9296188534715357,0.6142964146779243
actuarial,us,1.4,0.5485023659070792,0.12418,1.6008852274688483,100000,0.5452425956495847,62,37,31,0.9296188534715357,0.6142964146779243
actuarial,us,1.5,0.5124668559235535,0.12418,1.6008852274688483,100000,0.509256588718382,62,37,31,0.9296188534715357,0.6142964146779243
actuarial,us,1.75,0.4399210056061644,0.12418,1.6008852274688483,100000,0.4369588171423849,62,37,31,0.9296188534715357,0.6142964146779243
actuarial,us,2.0,0.3852143267516252,0.12418,1.6008852274688483,100000,0.3825321603508331,62,37,31,0.9296188534715357,0.6142964146779243
actuarial,us,1.0,0.7510351359476126,0.11716,1.729325895179758,100000,0.7487154814732868,63,38,30,1.0,0.6605178999580591
actuarial,us,1.05,0.7166427166485596,0.11716,1.729325895179758,100000,0.7140043788664359,63,38,30,1.0,0.6605178999580591
actuarial,us,1.1,0.68510814309559,0.11716,1.729325895179758,100000,0.6822622946746244,63,38,30,1.0,0.6605178999580591
actuarial,us,1.15,0.656118673737412,0.11716,1.729325895179758,100000,0.6531442194766893,63,38,30,1.0,0.6605178999580591
actuarial,us,1.2,0.6293988470528472,0.11716,1.729325895179758,100000,0.6263519977921154,63,38,30,1.0,0.6605178999580591
actuarial,us,1.25,0.6047070032022257,0.11716,1.729325895179758,100000,0.6016278813646825,63,38,30,1.0,0.6605178999580591
actuarial,us,1.3,0.5818314735128809,0.11716,1.729325895179758,100000,0.5787487089359535,63,38,30,1.0,0.6605178999580591
actuarial,us,1.4,0.5408106275627059,0.11716,1.729325895179758,100000,0.537775680647242,63,38,30,1.0,0.6605178999580591
actuarial,us,1.5,0.5051093877783092,0.11716,1.729325895179758,100000,0.5021635225550023,63,38,30,1.0,0.6605178999580591
actuarial,us,1.75,0.4333906957657881,0.11716,1.729325895179758,100000,0.4307240909306186,63,38,30,1.0,0.6605178999580591
actuarial,us,2.0,0.379404335361038,0.11716,1.729325895179758,100000,0.3770105512891652,63,38,30,1.0,0.6605178999580591
actuarial,us,1.0,0.7291879097422662,0.0996,2.017560094834387,100000,0.7270077562331523,65,40,28,1.1638080752999713,0.7668024674276824
actuarial,us,1.05,0.6950566745003418,0.0996,2.017560094834387,100000,0.6927876801707804,65,40,28,1.1638080752999713,0.7668024674276824
actuarial,us,1.1,0.6639101128096045,0.0996,2.017560094834387,100000,0.661598437700856,65,40,28,1.1638080752999713,0.7668024674276824
actuarial,us,1.15,0.6353859792176166,0.0996,2.017560094834387,100000,0.6330631577348558,65,40,28,1.1638080752999713,0.7668024674276824
actuarial,us,1.2,0.6091754852796845,0.0996,2.017560094834387,100000,0.6068630243029147,65,40,28,1.1638080752999713,0.7668024674276824
actuarial,us,1.25,0.5850145430466316,0.0996,2.017560094834387,100000,0.5827270101044602,65,40,28,1.1638080752999713,0.7668024674276824
actuarial,us,1.3,0.5626764459962448,0.0996,2.017560094834387,100000,0.5604235685811221,65,40,28,1.1638080752999713,0.7668024674276824
