weighting,label,year,markets,herfindahl,effective_markets,largest_share,largest_market,top3_share
pop,Population,1909,16,0.13572537656233336,7.367818939450421,0.23361260728172475,USA,0.5251148672218415
pop,Population,1910,16,0.1362762846029799,7.338033928011369,0.23546240159570267,USA,0.5272755993066806
pop,Population,1911,16,0.1369077963386886,7.304185932013364,0.23748277620327798,USA,0.5295420214729015
pop,Population,1912,16,0.13729369331774532,7.283655758940452,0.23863502225349703,USA,0.5313107450491511
pop,Population,1913,16,0.13766806475915805,7.263848749159361,0.23989286053936165,USA,0.533387686845457
pop,Population,1914,16,0.13828987341300675,7.231187471070068,0.2419243858399229,USA,0.5360080321312047
pop,Population,1915,16,0.13885066231359053,7.201982211230124,0.24373981884228985,USA,0.5381382296495805
pop,Population,1916,16,0.13930324572339747,7.178583634624094,0.24569439888151084,USA,0.5402302378909816
pop,Population,1917,16,0.13980794533277013,7.152669310887913,0.2478598483013306,USA,0.5421274361648442
pop,Population,1918,16,0.14043484591794164,7.120739823963037,0.2504777954174997,USA,0.5443549819170956
pop,Population,1919,16,0.14112294754839294,7.086019796015717,0.2532238637677383,USA,0.5468325886762012
pop,Population,1920,16,0.1409392256489526,7.095256805871571,0.2562438539554623,USA,0.5432861429283545
pop,Population,1921,16,0.1412827881876868,7.078003009620338,0.2582803311223166,USA,0.5429273382008424
pop,Population,1922,16,0.14247976380761174,7.018540551135983,0.2623273065726779,USA,0.5487268823206817
pop,Population,1923,16,0.14270346216879054,7.007538463342913,0.26436245883214055,USA,0.5476517038899991
pop,Population,1924,16,0.14317355947365717,6.984529850876497,0.2658888759199163,USA,0.5486390437924715
pop,Population,1925,16,0.14379622136926384,6.954285658397335,0.2678199997697165,USA,0.5498564961490076
pop,Population,1926,16,0.14419972790229024,6.934825845702012,0.26901596159719854,USA,0.5511005411217351
pop,Population,1927,16,0.14450738505795735,6.920061556708203,0.26985180317620927,USA,0.5522944161105658
pop,Population,1928,16,0.14490363251622518,6.90113824363946,0.2709699151500497,USA,0.5536854425951008
