position,credit,rate,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption,mean_retirement_consumption,n_paths
an Australian fund paying a pension,0.4285714285714286,0.15,target_date_fund,Target-Date Fund (glide path),0.9768518926721352,1.1028656915519954,0.19896,18.57781632019613,12.868214731649367,0.7071610025403775,1.5326331869798417,100000
an Australian fund paying a pension,0.4285714285714286,0.15,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927,0.908272012393883,100000
an Australian fund paying a pension,0.4285714285714286,0.15,domestic_000,0% domestic equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
an Australian fund paying a pension,0.4285714285714286,0.15,domestic_010,10% domestic equity,1.0760207641033217,1.2986551292213833,0.10095,21.96112025054529,48.08890557295179,0.7726264942867684,1.763640741346905,100000
an Australian fund paying a pension,0.4285714285714286,0.15,domestic_020,20% domestic equity,1.0965921138801051,1.3302282229907798,0.08852,22.614551811365995,52.710495141005794,0.7832214359964366,1.794370130536196,100000
an Australian fund paying a pension,0.4285714285714286,0.15,domestic_030,30% domestic equity,1.10652755117358,1.3452789697001644,0.08508,23.153490657497947,56.90903308414668,0.7903653745533179,1.8236689034798406,100000
an Australian fund paying a pension,0.4285714285714286,0.15,domestic_040,40% domestic equity,1.1051350875707242,1.3421041781300944,0.08839,23.58675143230237,60.86881384492774,0.788512594695518,1.8516708367430965,100000
an Australian fund paying a pension,0.4285714285714286,0.15,domestic_050,50% domestic equity,1.0934467881076164,1.3220420736309995,0.0965,23.945013883009487,63.423469034994014,0.7802363983986705,1.8786978314263447,100000
an Australian fund paying a pension,0.4285714285714286,0.15,domestic_060,60% domestic equity,1.0735601280059857,1.2891506579450562,0.10853,24.153707982177686,64.91103185370582,0.7669463843078314,1.9045105496169021,100000
an Australian fund paying a pension,0.4285714285714286,0.15,domestic_070,70% domestic equity,1.048630999712752,1.2487452282608067,0.12246,24.213313700847202,64.90853860151411,0.7474693392458921,1.9294602503471843,100000
an Australian fund paying a pension,0.4285714285714286,0.15,domestic_080,80% domestic equity,1.0210886361047462,1.2052392124030424,0.13851,24.110528879049866,63.116326572170216,0.7261167001368322,1.953408119915213,100000
an Australian fund paying a pension,0.4285714285714286,0.15,domestic_090,90% domestic equity,0.9925761294420636,1.1612341565485922,0.15657,23.885224425581345,59.83496136454697,0.7043482378209419,1.9760023237138284,100000
an Australian fund paying a pension,0.4285714285714286,0.15,domestic_100,100% domestic equity,0.9634877220761997,1.1180344005841962,0.17838,23.425605734696227,54.85831163735405,0.6815254083809317,1.9963234467278692,100000
