year,iso,tier,dom_eq,intl_eq,bond,bill,inflation,real_exchange_rate,available,provenance,country
1917,FIN,A,-0.4272809877175363,-0.5122857635011029,-0.5915676484034917,-0.46599814344885837,0.9475587703435804,1.7495640710503924,True,JST/JKKST empirical 1896-2020; inflation 100% empirical,Finland
1917,FRA,A,-0.10596397091393106,-0.07278598623592625,-0.12962718894360237,,0.17391304347826075,0.8042670485052409,False,JST/JKKST empirical 1890-2020; inflation 100% empirical,France
1917,GBR,A,-0.12531858982559974,-0.11284812455463844,-0.17680723443865398,-0.16301917034787494,0.252,0.942371232272323,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,United Kingdom
1917,ITA,A,-0.14010608459097784,-0.09840111107579141,-0.37308940722078876,,0.4144853455253301,0.7521214043483526,False,JST/JKKST empirical 1890-2020; inflation 100% empirical,Italy
1917,JPN,A,-0.23967900387913443,-0.09600026309945398,-0.14796323484911567,-0.1520227873724772,0.2267310789049919,0.810775998541973,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Japan
1917,NLD,A,0.08474673250209896,0.03705234561453774,-0.08575623981162261,-0.03359999446382167,0.06249999306215481,0.833745079556103,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Netherlands
1917,NOR,A,-0.014215782991332637,-0.26512174005520783,-0.17446465707191927,-0.15853866060679467,0.24236248555697792,1.3929478978798158,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Norway
1917,PRT,A,-0.03535393883048743,0.03553329094698654,-0.051883254982071025,-0.10780864222734055,0.1824817518248174,0.5572039978230166,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Portugal
1917,SWE,A,-0.20324367695351742,-0.2550430994643228,-0.20194076022087804,-0.17006097688544086,0.2615384615384615,1.327878061375286,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Sweden
1917,USA,A,-0.3491629471536726,-0.03585705121991922,-0.16041243237850722,-0.1143750007613562,0.17431192660550465,0.7305168267753274,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,United States
1918,AUS,A,0.0026443933676703058,0.023561005501473664,-0.055340481476852554,-0.0324977072769943,0.07216477755342021,0.5733620202193606,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Australia
1918,BEL,A,-0.13355081206616115,-0.17088660283462664,,,0.39672131147541,1.7104596134510266,False,JST/JKKST empirical 1890-2020; inflation 100% empirical,Belgium
1918,CHE,A,-0.11938779050788795,-0.15860437485140033,-0.16298384150928158,-0.12655866887221712,0.19298224425483834,1.1070203334680038,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Switzerland
1918,DEU,A,-0.40338083259056545,-0.17173281263308093,-0.15582828660565062,-0.14959316723146798,0.23035229860061524,1.008287409864961,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Germany
1918,DNK,A,0.0550030950548539,-0.08378864531264207,-0.11169079923915426,-0.10397175040989826,0.17708342212584904,0.9922396132952785,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Denmark
1918,ESP,A,-0.22049068409514783,-0.29447380852644145,-0.27337993386605086,-0.2808138480967387,0.45303131744492164,1.2829419737332082,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Spain
1918,FIN,A,-0.6076194234506442,-0.5534148694072005,-0.6066550264580275,-0.695382105238758,2.414113277623027,3.175923515668578,True,JST/JKKST empirical 1896-2020; inflation 100% empirical,Finland
1918,FRA,A,-0.14879065603017805,-0.177885887571133,-0.14665236834968842,,0.2962962962962963,0.7853187059422367,False,JST/JKKST empirical 1890-2020; inflation 100% empirical,France
1918,GBR,A,-0.010047597474739045,-0.10756392519341462,-0.07543671424271614,-0.1510655730962751,0.21999999999999975,0.8437744373554935,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,United Kingdom
1918,ITA,A,-0.13285153844074837,-0.17983184614674874,-0.28274023244015056,,0.39440464495275696,0.7351404965876346,False,JST/JKKST empirical 1890-2020; inflation 100% empirical,Italy
1918,JPN,A,-0.11401248616167325,-0.2170962701321959,-0.2413655845184982,-0.22444094465153597,0.34602257810448944,0.8263624016054807,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Japan
1918,NLD,A,-0.19143955532343337,-0.1781259548738786,-0.1791671490632939,-0.13539259747368304,0.19117647673386973,0.8169684283952008,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Netherlands
1918,NOR,A,-0.3258611161682988,-0.07394665204565765,-0.2662358924613022,-0.2526253222692829,0.40491781703551166,1.2310721775237226,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Norway
1918,PRT,A,-0.20569528735945253,-0.3918092884265659,-0.4037150659760518,-0.4166894199599992,0.808641975308642,0.7232425770087445,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Portugal
1918,SWE,A,-0.4547203052093379,-0.10239419736903388,-0.3254974994081926,-0.282755185768812,0.4695121951219512,1.220104442935772,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Sweden
1918,USA,A,0.05586286885848901,-0.07920620944474255,-0.12579113284483656,-0.11841059678437693,0.1796875,0.6324725989405227,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,United States
1919,AUS,A,0.05511103567076314,-0.16810759319532365,-0.07526487602654652,-0.07793617718596046,0.1250000865384684,0.7270653126478959,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Australia
1919,BEL,A,1.009743404253728,0.5525420280663158,,0.6491559577190271,-0.37676056338028174,1.1603348637270563,False,JST/JKKST empirical 1890-2020; inflation 100% empirical,Belgium
1919,CHE,A,-0.14484616977838805,-0.015836346806761936,-0.08013406481258989,-0.04248644670060653,0.08823524830874674,1.2164537508442925,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Switzerland
1919,DEU,A,0.1971871961688807,1.2518422911481943,-0.19638066274847532,-0.21223847424442577,0.3281938343445796,0.4947472354440496,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Germany
1919,DNK,A,-0.19006015950134236,-0.02232532656170716,-0.2725194417578559,-0.10519178598103063,0.18584069974847184,1.1003700488964716,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Denmark
